pack_idx,text,source,human_intent,human_escalate,human_reason
24,Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,spotcheck_30,,,
25,@116421 @VirginTrains Good morning from Australia,spotcheck_30,,,
26,@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,spotcheck_30,,,
27,@VirginTrains @VirginAtlantic A non refundable one ;-),spotcheck_30,,,
28,"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",spotcheck_30,,,
29,"@VirginTrains I have an open off peak return to Liverpool and was planning to travel his evening, can I use this ticket for a peak train leaving first thing tomorrow morning in order to get back for work??",spotcheck_30,,,
30,@VirginTrains hi guys is there a backlog on delay repay? U are normally so quick but it’s been a month now since my last one,fresh_seed11,,,
31,@VirginTrains  https://t.co/n1aCvnnumj,fresh_seed11,,,
32,@VirginTrains @LondonMidland Okay thank you.,fresh_seed11,,,
33,@VirginTrains Hi it’s now 22:12 😩 Can I get a free cuppa? Thanks! 🙏,fresh_seed11,,,
34,@VirginTrains hope you can held I've left a plastic bag above seat D27 from Euston to Glasgow I got off at Warrington it is a House of Lords bag can you locate it for me and drop it off at Bank Quay,fresh_seed11,,,
35,@VirginTrains Don’t you just hate it when nothing you had planned goes to plan!,fresh_seed11,,,
36,@VirginTrains Just found him. His name is Mark Johnson!! Legend!,fresh_seed11,,,
37,Disgraceful behaviour @VirginTrains you should be ashamed https://t.co/FfGXj0cezo,fresh_seed11,,,
38,@VirginTrains sent you a DM re trains,fresh_seed11,,,
39,@virgintrains @127472 if you are going to charge people £20 upgrades to 1st 4 the wifi you can at least make sure it works #refund,fresh_seed11,,,
40,"Research from @VirginTrains has unveiled trainspotting as a hipster trend, combining photography, high-speed travel &amp; technology. There's been particular interest in their new fleet Azuma https://t.co/AE0rzXPVU5 https://t.co/Cwra3Fqn2T",fresh_seed11,,,
41,@VirginTrains I had a late ticket yday but desperately need to get home ASAP - can I get the 09:30 service from Euston to Preston with it?,fresh_seed11,,,
42,Horrendous 2 hour delay on @VirginTrains tonight. Understand problems but just want to get home!,fresh_seed11,,,
43,@VirginTrains first in both travels,fresh_seed11,,,
44,@VirginTrains There's no card machine in the shop that's all they have advised,fresh_seed11,,,
45,@VirginTrains You cannot sell tickets and then say this fare is not valid at the time you buy.,fresh_seed11,,,
46,@virgintrains catering options on 1st class have deteriorated- no brown bread and veg sausage sandwich on white very disappointing choice,fresh_seed11,,,
47,@VirginTrains any idea of the last train from Euston to Milton Keynes?,fresh_seed11,,,
48,@VirginTrains If we’re not sure if ours has been cancelled can we get another train? 20.00 to man pic not showing on any boards but tickets for that one,fresh_seed11,,,
49,@VirginTrains Staff are stressed and not sure what they’d say really. They just said they couldn’t operate a buffet car on this service. 2 hrs til Glasgow,fresh_seed11,,,
