text,weak_intent,human_intent,human_escalate,human_reason,review_type,note
"@VirginTrains could you tell me when advance tickets for London-Glasgow on December 28th will be released, please?",ticket_change_refund,timetable_platform,0,none,manual-60,"amend->timetable (advance-release availability Q, not amendment)"
@VirginTrains is the 1910 London Euston to Rhyl still running. Just saw the 1810 was cancelled...,delay_claim,delay_claim,0,none,rulebook-assisted,delay->timetable (still-running info Q; cancel mention incidental); timetable->delay (cancel/delay explicit)
"@VirginTrains I just booked a journey for two people and added two railcards but when I paid it only linked one railcard and I only realised after paying, is there a way to add one now?",fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
Says cream cheese and roasted pepper with @299081 but the seat opposite is empty @VirginTrains where is he? #disappointed #stoodup https://t.co/KbeuWq2BbE,howto_guidance,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"howto->other (joke/call-out, no guidance ask)"
"@VirginTrains I am travelling on ur East Coast Train &amp; sun is streaming in
Lovely, but can’t see my mac screen 
Could you not fit blinds?",accessibility_assistance,complaint_service,0,none,manual-60,assist->complaint ('blinds' sun-glare matched blind; comfort complaint)
@VirginTrains @VirginAtlantic A non refundable one ;-),ticket_change_refund,other_out_of_scope,0,none,manual-60,amend->other (Virgin Atlantic airline; wrong brand)
"@VirginTrains train delayed by 25 minutes, then a horrible employee tried to make us clear up somone elses rubbish for her, incredibly rude, awful experience... https://t.co/gChXYHmUgu",delay_claim,delay_claim,1,complaint_review,rulebook-assisted;FLIP-esc,
@VirginTrains People got on at Stoke &amp; made comments about the smell before they even sat down #disgraceful #VirginTrains,other_out_of_scope,complaint_service,0,none,manual-60,other->complaint (crowd/heat/smell/disgust; weak keyword gap)
@VirginTrains Ok. Have you written about the reasoning behind the new app? Anything at all about the upgrade?,fare_ticketing,howto_guidance,0,none,rulebook-assisted;FLIP-intent,fare->howto (app-upgrade Q matched 'upgrade'; not a fare)
My @121516 train is delayed from MCR meaning I’ll miss my @VirginTrains from Preston to Glasgow. Is it ok to get the next one?,delay_claim,ticket_change_refund,0,none,rulebook-assisted;FLIP-intent,delay->amend (ticket-validity permission ask; delay secondary)
"@VirginTrains you robbing bastards, take our money, cram us on like sardines, no seats, three hours",complaint_service,complaint_service,0,none,rulebook-assisted,
@398094 @VirginTrains On time currently. ^KM,timetable_platform,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-intent;FLIP-esc,staff-reply contamination (^XX sign-off; not customer inbound)
"@VirginTrains @120576 As far as I can tell, try book through the app, it's off peak, searching for GLA to carlise, preston or Lancaster on sat 16th Dec.",ticket_change_refund,ticket_change_refund,0,none,rulebook-assisted,
@VirginTrains Hi me and @25428 are due in the 10.20am tomorrow from Euston to Manchester. We can't delay our journey so what can you recommend on how to get there? Thanks.,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@116421 @VirginTrains Good morning from Australia,support_access_followup,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"followup->other (greeting from abroad, no ask)"
@VirginTrains will the 18:09 Wigan to Euston run on time? Also will seats be declassified? I have a seat reserved,timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains Ok no problem.  Thanks.,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains hi i have an off-peak open return ticket and tried traveling today. Can I use this tomorrow?,howto_guidance,howto_guidance,0,none,manual-60,
@VirginTrains @479934 Sorry to hear that Jak. Did you miss your connection because of this? ^JC,other_out_of_scope,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-esc,staff-reply contamination (^XX sign-off; not customer inbound)
@VirginTrains It's gone on holiday to mainland Europe,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
"@VirginTrains @133684 The Costa coffee shop on the platform at Lancaster has made no attempt to remove the step at its entrance, making it inaccessible",accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
@VirginTrains I have an off peak single for Birmingham international to London Euston at 5pm today. Can I use it on an earlier train?,howto_guidance,howto_guidance,0,none,manual-60,
@VirginTrains “Rock Star Treatment” 19.50pm is classed as Late Evening so  Dinner Service is finished. WiFi &amp; 240v  socket both broken https://t.co/ZKDIWtdF4I,complaint_service,complaint_service,0,none,rulebook-assisted,
"@VirginTrains We have not arranged assistance, who do I speak to? Thanks",accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
"@VirginTrains Terrible service, can we get a refund?",ticket_change_refund,ticket_change_refund,1,money_threshold,rulebook-assisted,
On a busy @VirginTrains to Manchester &amp; so impressed to see the two minutes silence observed so respectfully by crew &amp; fellow passengers #LestWeForget https://t.co/D1ZE2mQmFh,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
@VirginTrains can let you me know the onward journeys for the 15.03 Euston-Birmingham? I will check all terminating lost property offices.,lost_property,lost_property,0,none,rulebook-assisted,lost->timetable (onward-journey Q; lost-property mention incidental/sarcastic); lost-fix
"@VirginTrains your staff at Glasgow central booking office are completely incompetent,I was given wrong and false information on 14/8/2017",other_out_of_scope,other_out_of_scope,0,none,manual-60,
@120576 @VirginTrains I’m now on the 17.59 York to Kings cross. Supposedly direct but currently sitting for 20 minutes in Northampton with no air-con. Can you order the crew to update us?,complaint_service,complaint_service,0,none,rulebook-assisted,
@VirginTrains 8.23 from Euston to New Street currently claims to be on time - is that really true?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains Ideally 23/12 MAN-EUS and then on to Sittingbourne. Return the same way on the 28/12. I have a 16-25 railcard as well 😊,fare_ticketing,fare_ticketing,0,none,manual-60,
It’s been 30 min since my train to Manchester was supposed to depart and there is still no sign of it! At least I’m not alone 😩😩😩 #delay @VirginTrains https://t.co/6oDW0UaDkZ,delay_claim,delay_claim,0,none,manual-60,
"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",delay_claim,ticket_change_refund,0,none,manual-60,overlap delay<->amend primary=ticket_change_refund
"I honestly will always be a bit pissed off that @VirginTrains was able to make their trains even more inaccessible by changing a trolley service to food carriage. So as a wheelchair user, it's literally impossible for me to get overly priced refreshments. #inaccessible #bastards",accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
@VirginTrains It’s the one and only Andrew who’s our cabin manager this evening!,support_access_followup,support_access_followup,1,human_request,rulebook-assisted,
"@VirginTrains No it won't. But thanks for your ""concern"" and the £196 ticket to travel in a cattle truck.",support_access_followup,complaint_service,0,none,rulebook-assisted;FLIP-intent,followup->complaint (fare/crowd sarcasm despite thanks)
@VirginTrains @135993 Last year he renewed it at Stoke. the ticket office staff were less than impressed at somebody paying in £11k in cash in £20’s! Solution?,fare_ticketing,fare_ticketing,1,money_threshold,rulebook-assisted,
@VirginTrains Is it. I’ve lost count of many times I’ve been ill this year,lost_property,other_out_of_scope,0,none,manual-60,"lost->other ('lost count' idiom, no item)"
Onjourney home via Vicarage Rd. Replacebus late &amp;train allowed to leave as we get to platform😡If I miss @57798 goal @VirginTrains ..,timetable_platform,timetable_platform,0,none,manual-60,
@VirginTrains And you still haven't answered my question: how is having a full trainload of passengers make a mad dash down the platform a few minutes before departure *safer* than allowing people to wait on the platform?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains what's the price of an off peak return to Birmingham new street after 9:30am please,ticket_change_refund,ticket_change_refund,1,money_threshold,rulebook-assisted,
"@VirginTrains I’m getting off at Euston. I would like some food but can’t get to the foodbar without some assistance &amp; I’ve been waiting ages, but nobody",accessibility_assistance,accessibility_assistance,0,none,manual-60,
@VirginTrains why no advance tickets on west coast line Glasgow London on 28/12 29/12 want to book family Christmas,ticket_change_refund,ticket_change_refund,0,none,manual-60,
It’s not enough that you’re over an hour delayed out of york @VirginTrains but then the train arrives &amp; sits on the platform for fun?Move?,timetable_platform,delay_claim,0,none,rulebook-assisted;FLIP-intent,timetable->delay (cancel/delay explicit)
"@VirginTrains Thanks, I'll keep an eye on things.",support_access_followup,support_access_followup,0,none,rulebook-assisted,
@497060 @VirginTrains Are u joking?! Poor person has lost their life and in such a horrific way and you’re moaning about some water which was probs less than £2?!,lost_property,lost_property,0,none,manual-60,
It’s fair to say I’m not having a good @VirginTrains week. Major delays and disruption is not what you want to hear on a Friday night,delay_claim,delay_claim,0,none,rulebook-assisted,
@VirginTrains I wish you would make sure all seat reservations are downloaded - annoying when you have to move.,complaint_service,complaint_service,0,none,manual-60,
@VirginTrains  https://t.co/MRC6T5iDlW,support_access_followup,other_out_of_scope,1,unresolvable,rulebook-assisted;FLIP-intent;FLIP-esc,link-only vague
@VirginTrains At @213768 Sat on an empty virgin train at platform 1. Mobility assistance told me it wld be 21.03 to Wolverhampton.,accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
@VirginTrains I accept that it is in your t&amp;cs about not replacing lost https://t.co/YLHnkDjZnH have replaced my sis in laws before 😔,lost_property,lost_property,0,none,rulebook-assisted,
@VirginTrains Yes very lucky we were able to sit together thanks,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains VT-051117-084,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains Please just stop being shit then I won't have to waste my time doing compensation claims. Go through my twitter history with you guys,delay_claim,delay_claim,1,money_threshold,rulebook-assisted,
@VirginTrains Hi took some unused tickets to Peterborough ticket office for refund &amp; they said must get the refund from Virgin EC website ??,fare_ticketing,fare_ticketing,1,money_threshold,rulebook-assisted,
"@VirginTrains @127472 Not much consolation as I'll be an hour later getting home, having left my home town at 5.38 this morning #tired #grumpy",lost_property,lost_property,0,none,manual-60,
@VirginTrains where can I get the air con put on the train,other_out_of_scope,other_out_of_scope,0,none,manual-60,
@VirginTrains Thank you. Perhaps having the disabled sign painted on the wall as well as the floor would help identify who should be using the space.,accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,
@VirginTrains Ref: 2338205969. Staff at Manchester assured me i could get a refund?,ticket_change_refund,ticket_change_refund,1,money_threshold,rulebook-assisted,
@VirginTrains my train has been cancelled and I have had to make alternative arragements to collect my 5 year old son off a flight into Liverpool can i claim compensation London Houston - Liverpool Lime Street 11.15 today,delay_claim,delay_claim,1,money_threshold,rulebook-assisted,
@VirginTrains I had an advanced ticket for the 7pm train,ticket_change_refund,ticket_change_refund,0,none,rulebook-assisted,
"@VirginTrains @120576 Their advice was that they are only contracted to get me there, not on time or with a seat, despite pre booking.",timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains what is your policy for a traveller with lost tickets when confirmation and payment card are available as proof of purchase?,lost_property,lost_property,0,none,rulebook-assisted,
@VirginTrains Good Morning from out here in the East 👍🏻🚂,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains do you accept Two together railcards on Anytime Single fares?,fare_ticketing,fare_ticketing,0,none,manual-60,
@VirginTrains if I was booked on the 18:57 tonight can I travel anytime tomorrow? I need to be at work in Manchester!,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
Your Manchester Piccadilly customer experience staff have been absolutely awesome this morning @VirginTrains 👍🏻. Impeccable service at the platform gates. #thankyou #funny #smiley #helpful #welcoming https://t.co/VcAP169n5k,timetable_platform,timetable_platform,0,none,rulebook-assisted,
"@VirginTrains Thanks, booked 🤗 if there would be any chance of any upgrades we would really appreciate it! 😘",fare_ticketing,howto_guidance,0,none,manual-60,fare->howto (app-upgrade Q matched 'upgrade'; not a fare)
@VirginTrains 2/2 to being sardines in a can packed together on the second train meanwhile first class is virtually empty any chance we sit in there pls??,complaint_service,complaint_service,1,complaint_review,rulebook-assisted;FLIP-esc,
@VirginTrains Thank you. Hopefully I’ll make it!!,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains Can I have a refund plz,ticket_change_refund,ticket_change_refund,1,money_threshold,manual-60,
@120576 @VirginTrains Where is the travel centre?,howto_guidance,howto_guidance,0,none,rulebook-assisted,
"@VirginTrains Thx, any ideas at all what time ? Any help appreciated.",timetable_platform,timetable_platform,0,none,rulebook-assisted,
@VirginTrains Yes I know about that but how do I upload a scan of my tickets when they are on my mobile? Would a screenshot work?,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@VirginTrains Large bag left in the luggage rack on the 18:31 arrival at Euston. No one I reported to remotely concerned.,timetable_platform,lost_property,0,none,manual-60,lost-fix
@VirginTrains any idea when next eus departure to MKC is?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
"3rd week in a row getting to Euston to find out my train to Manchester is delayed, sort it out @VirginTrains 😞😞",delay_claim,delay_claim,0,none,rulebook-assisted,
@VirginTrains Mum now on train to Leeds... Could she pay for an upgrade on the 3.15pm Leeds train to London Kings Cross? How much?,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
"@VirginTrains I know, right? 😂",other_out_of_scope,other_out_of_scope,0,none,manual-60,
@VirginTrains Been complaining for yrs just want better services for disabled.I hear rumours of training &amp; policy clarity but many staff still lacking,accessibility_assistance,other_out_of_scope,0,none,manual-60,"assist->other (peer/abuse fragment, no actionable assistance ask)"
@VirginTrains I have some complimentary tickets which I am wanting to use. I have used them in the past but I have lost the link. Can you help.,lost_property,lost_property,0,none,rulebook-assisted,
@VirginTrains Thank you. It has been a tedious journey for all.....,support_access_followup,support_access_followup,0,none,manual-60,
@VirginTrains ...everything ran out and was warm when refilled. Staff were indifferent and the place as dirty.,complaint_service,complaint_service,0,none,rulebook-assisted,
"@VirginTrains So how does it work then, you only get into the app when you have wifi connection.",howto_guidance,howto_guidance,0,none,manual-60,
@VirginTrains Yes I did cause it had been cancelled on platform 3 we got moved to platform 13,delay_claim,delay_claim,0,none,rulebook-assisted,
"@VirginTrains you always helpfully announce on a train when it is late to arrive. How about also telling your passengers when they are able to claim for compensation for the delay?
Your customers often don't cause they don't know they can.",delay_claim,delay_claim,1,money_threshold,rulebook-assisted,
@VirginTrains Is that it?!!  I want to know how you are going to get her safely to London!?? No trains til after lunch so what time is first coach supply?,timetable_platform,timetable_platform,0,none,rulebook-assisted,
"@VirginTrains Wowzers, strawberry trifle for afters. They're going to have to role me off this train! 😋 #tnwbbontour https://t.co/owu5Fuztrp",other_out_of_scope,other_out_of_scope,0,none,manual-60,
Absolutely terrible customer service from staff at Wolverhampton. Ticket machine charged me but didn’t dispense tickets and was told had to just repurchase. Checked my bank and paid twice for one ticket @VirginTrains not feeling very happy today.,fare_ticketing,fare_ticketing,1,money_threshold,rulebook-assisted,
"@VirginTrains likely that my train tonight from EUS will be severel delayed/cancelled, assume that I will be able to use my ticket tomorrow morning?",delay_claim,delay_claim,0,none,rulebook-assisted,
"@VirginTrains Due to today, please can I reserve 2 seats from Runcorn to Euston at 6.21 tomorrow, I am travelling with a disabled passenger",accessibility_assistance,other_out_of_scope,0,none,rulebook-assisted;FLIP-intent,"assist->other (peer/abuse fragment, no actionable assistance ask)"
"@VirginTrains It’s all good now, just got on. The service before terminated here so wasn’t sure. Thanks 😀",support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains I’ve a ticket with 16-25 railcard for this evening. Card has expired though. Can I buy new card from you at Euston?,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
@VirginTrains @120576 @122155 R u the same PA who works for @120576? Or is it just a coincidence that u have the same initials,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
@VirginTrains @139249 @38887 Lost train ticket = Profit!,lost_property,lost_property,0,none,manual-60,
@757314 @VirginTrains Unfortunately we can only guarantee a refund for those standing customers who have made a reservation. ^JC,ticket_change_refund,other_out_of_scope,1,unresolvable,manual-60,staff-reply contamination (^XX sign-off; not customer inbound)
@VirginTrains service to and from NEC to London today unacceptable. How does one obtain refund?,howto_guidance,howto_guidance,0,none,rulebook-assisted,
@VirginTrains Can I change my ticket and try again tomorrow? I don't fancy a three hour taxi ride to Wales...,ticket_change_refund,ticket_change_refund,0,none,rulebook-assisted,
"@VirginTrains Ignore that, he came back and got me a coffee! How can I repay him?",howto_guidance,howto_guidance,0,none,manual-60,
@VirginTrains Morning HQ 👋 so MW is the cat then 😂,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains have absolutely no idea how to deal with a crisis! #strandedyetagain #noinformation #scarycrowds #toomanypeople #noorganisation #wouldneverhappeninaschool https://t.co/DpWw5sdS35,howto_guidance,complaint_service,1,legal_safety,manual-60,safety->complaint
@VirginTrains Can I DM you?,support_access_followup,support_access_followup,0,none,rulebook-assisted,
@VirginTrains how is a single journey only 30p cheaper than the return journey?! #doesntmakesense #evenwitharailcard,fare_ticketing,fare_ticketing,0,none,rulebook-assisted,
@263723 @VirginTrains @120244 @LondonMidland Give in to the corporate greed.,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
@VirginTrains 13:49 train from Carlisle to London Euston. Every single seat is reserved but no one sat in seats! Nearly had to sit on floor,complaint_service,complaint_service,0,none,rulebook-assisted,
@VirginTrains Fancy making the 06:26 from #MK to #Euston an 11 car? (Much as we all love standing in cramped vestibules) #CrampedCommute,accessibility_assistance,accessibility_assistance,0,none,rulebook-assisted,assist->complaint ('ramped up heating' matched ramp; not assistance); assist-fix
@VirginTrains So @VirginTrains how does that work? She can't use the return half because of its restrictions but you wont refund her either #ripoff,howto_guidance,howto_guidance,0,none,manual-60,
@VirginTrains Due to get 15:57 from Euston. Do you know if this will run?,other_out_of_scope,other_out_of_scope,0,none,manual-60,
Anyone on this @VirginTrains got a spoon for my poncey @marksandspencer pomegranate seeds?,other_out_of_scope,other_out_of_scope,0,none,rulebook-assisted,
