text,slice,pred_esc,pred_reason,intent
"@VirginTrains I have received email re delay repay for yesterday's 7pm Euston to Manchester service, but it only for half the ticket. I was advised to go via Leeds and was over an hour late arriving, am I not entitled to full refund?",money,1,money_review,delay_claim
@VirginTrains hello. Could I claim for compensation for the delays from Euston on 5/11 ? It was an open return ticket but had to wait hours,money,1,money_review,delay_claim
@VirginTrains @120576 Ok thank you. The repay link that you sent me is useful and I will use it. But it's more the point that I have had two very,money,1,unresolvable,support_access_followup
@VirginTrains Any reason why I’ve not seen any notification of refund? Same last 3 delays also. What’s changed?,money,1,money_review,ticket_change_refund
@VirginTrains why are there no advance tickets available between Euston and Preston on 29 Dec? £88 for a single is a rip off.,money,1,money_review,ticket_change_refund
@VirginTrains Will I get a refund due to the delays?,money,1,money_review,ticket_change_refund
Tried complaining to @VirginTrains about their hopeless time keeping and slow refund service - the online complaint form doesn’t work!!!!,money,1,complaint_review,complaint_service
@VirginTrains paying £126 for a train ticket no-one checks is galling enough...wouldn't hurt to roll the refreshments trolley out #parched,money,1,legal_safety,other_out_of_scope
@VirginTrains Yea I’m sure it does but ultimately your compensation policy is a farce,money,1,money_review,delay_claim
"@VirginTrains Oh trust me, I’m going to submit a complaint and claim the £100 I had to find to get another ticket. If i couldn’t have found the dosh, your colleague was happy to leave a mentallly disabled man stranded in London. A fucking disgrace.",money,1,legal_safety,complaint_service
@VirginTrains Hi. On the 17th. I know you have 28 days to respond but compensation claims only have 28 days to claim. Barrier staff at Coventry forced me to buy a ticket i didn't need because they didn't acknowledge my valid ticket. both yourselves and @LondonMidland agree I had a valid txt.,money,0,none,other_out_of_scope
@VirginTrains Just spoke to Brett in your Customer Solutions team who was very helpful in arranging a refund for my delayed journey. Please pass on my thank you’s!,money,1,money_review,delay_claim
@VirginTrains Paid for 1st RT. Return does not have 1st class car. How do I get a refund of the difference?,money,0,none,howto_guidance
Just had ultimate snobbery from @VirginTrains staff 'Kathy' who asked me why I was in 1st class!i was buying an upgrade with my £1400 ticket,money,1,money_review,fare_ticketing
@VirginTrains does your delay repay dept. actually answer the phone or not? Been in the que half an hour after my claim for a failed train was rejected.  #scandalous,money,1,money_review,delay_claim
@VirginTrains @470781 Can I get a refund? £88 for this X_X,money,1,money_review,ticket_change_refund
"Love that @VirginTrains tell people to book in advance because tickets are more affordable, yet London to Manchester *next March* is still over £80 return. https://t.co/aonawsHuhl",money,1,money_review,ticket_change_refund
"@VirginTrains why does it cost me £11.80 for Crewe/Liverpool Return this Saturday, using the Virgin Train App and only £7.55 using the Trainline App for the same journey?",money,0,none,other_out_of_scope
@120576 @VirginTrains Used the paper Delay Repay form so wherever that gets sent to.,money,1,money_review,delay_claim
"@VirginTrains @120576 You couldn't have afforded a few extra carriages to help out? For reference, this is what our carriage looks like. This is worth over £100 to you?? I don't see why elderly people and children should have to suffer because of disruption on your network. https://t.co/IXoXWD2r1H",money,0,none,other_out_of_scope
@VirginTrains hi when will I hear back from my refund request? I had a email confirmation on the 07.11?,money,1,money_review,ticket_change_refund
"@120576 @759177 @VirginTrains Will we get compensation for the fact journey from
Edinburgh has taken 2hrs longer than normal?",money,1,money_review,delay_claim
@VirginTrains once again you cancel a train on 17 September. I apply for a refund and you simply issue a case reference but take no action. 2 letters + 3 emails = no repayment.,money,1,legal_safety,delay_claim
@VirginTrains hi I've contacted you about a delay repay claim and nobody has got back to me ...dm please,money,1,money_review,delay_claim
"really impressed with @VirginTrains customer service, refund has already been processed for yesterday’s delay without asking for one",money,1,money_review,ticket_change_refund
"@VirginTrains Is this what £131 gets you these days? Feel free to check the CCTV, I’ve smiled for the camera! 2/2",money,0,none,other_out_of_scope
@VirginTrains any updates on refunds for services from Lime Street to London on Sunday 5th Nov? Been 16 days now with no reply.....,money,0,none,other_out_of_scope
@VirginTrains Took them till after bham international  despite boarding at wolves. They knew from there so why wait so long. You should be refunding.,money,0,none,other_out_of_scope
