text,human_intent,pred_intent,human_esc,pred_esc,human_reason,pred_reason,ground,safety_j,verdict,llm
hello everyone please boycott @VirginTrains for being unable to find a booking reference so my broke ass had to pay £160 this morning 🙃,ticket_change_refund,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,howto_guidance,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains @123241 @13044 Clicked reserve seating, only to find that trainline don’t warn you. Any help? CS virgintrains couldn’t either. Thanks",howto_guidance,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Voicemail left with your lost property team...,lost_property,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"Dear @VirginTrains, have you stop having an in reserved carriage between Rugby &amp; Euston? As this isn’t great for those with season tickets.",fare_ticketing,fare_ticketing,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains tube shut by arrival time how do i get home???,timetable_platform,howto_guidance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,ticket_change_refund,howto_guidance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains how do I force the landing page for train Wi-Fi to appear again ? I’m connected to the network but no websites will load and the landing page won’t either,howto_guidance,howto_guidance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@nationalrailenq Be able to let people with London midland tickets on the @VirginTrains from cov to Euston to make up for lost time due to the train fault?,delay_claim,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains What is the refund procedure for removal of First Class services?,ticket_change_refund,complaint_service,1,0,money_threshold,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@127472 @VirginTrains You are disabled and have a rail card.

I replied because I got blown up in Afghanistan and lifted my trouser leg up.

At this point I was",other_out_of_scope,other_out_of_scope,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"After Friday's horror show on @VirginTrains London-Manchester, I gave them another try to York. No alternative. Return journey 40 mins late into KingsX, got me in near 140AM. Comp claim for lateness absolutely designed to deter. But it has been filed.",delay_claim,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I've left my tickets at home and cannot go back to get them otherwise I miss the train I am booked on. Please help!,lost_property,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Will tomorrow morning's services from Euston to Manchester be affected?,timetable_platform,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,fare_ticketing,fare_ticketing,1,1,complaint_review,complaint_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Wow... this train from Oxford to Stockport is ridiculously packed @VirginTrains 😳,complaint_service,complaint_service,1,1,complaint_review,legal_safety,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains bought ticket for manc to ldn AGES ago. How do i know if I can get any train or just the specific one?,howto_guidance,howto_guidance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
When you realise your train ticket is booked in the @VirginTrains 'Quiet Coach' 🤣🤣🤣 @148328 what were you thinking! #quietmeanspartyright,other_out_of_scope,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains FYI no power at seats 24 and 28 coach F on the 7pm Euston to Man Picc service tonight #pleasefixit,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains £48 for a  ticket from Chester to Euston with no seats and an extra £233 each for first class?! #AreYouHavingAFuckingLaugh,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"Wooooo! @VirginTrains East Coast on time, non stop Edinburgh to Newcastle, and we have our table to ourselves 🙌🏻 https://t.co/HoR7OOKerW",timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Thank you @131370 for the quick processing of refund for when I left railcard at Home. Sadly @VirginTrains still haven’t processed since email sent on 16 October... (can Virgin chase?),fare_ticketing,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Someone in our seats claiming they also reserved them.,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Suggestion; Can you install movie 🍿 monitors into 1st Class Trains please?? @VirginTrains https://t.co/YJgJrz7otf,other_out_of_scope,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,lost_property,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains is the 21:03 train from Euston to Birmingham International still running/ running on time?,timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
On 6.55 @VirginTrains #Euston to #Manchester @79748 #pension #trustee meeting.  Empty train. Result - but why peak fare Virgin for empty train? #ripoff ? https://t.co/aEpjOGlW3M,fare_ticketing,fare_ticketing,0,1,none,unresolvable,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@120576 @VirginTrains Delayed again, no trolley service again, What’s going on...#leedstolondon #alwaysanissue",delay_claim,delay_claim,1,1,legal_safety,legal_safety,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
".@VirginTrains I have just been viciously attacked by the voice of Will Ferrell in your trains, movie adverts in the toilets of trains?! 2017 for ya",complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains &lt;hear them somewhere else in the carriage - maybe a speaker is bust? Ironic because this is the Accessibility area... I’m in Seat D63,accessibility_assistance,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Best train journey EVER from @VirginTrains when I was travelling to York today. Got to watch the polar express for free with brilliant onboard WiFi and amazing customer service 👏🏼👏🏼👏🏼  - very happy customer!! @127472 good job! https://t.co/nhLUnQbKpg,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains what are the rules when it comes to priority seats having reservations?,accessibility_assistance,complaint_service,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Mandy in Birmingham new st ticket office and the ticket man on the 7.03 from Euston to Brum.,fare_ticketing,fare_ticketing,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Why is it so hot on @VirginTrains #manishot,complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"Really impressed with @VirginTrains service from Preston tonight. Late running (out of their control - unwell passenger) - going out of way to communicate, advise on connections, meanwhile hunting down poorly passenger’s luggage to return to them 👍",lost_property,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains I have an open off peak return to Liverpool and was planning to travel his evening, can I use this ticket for a peak train leaving first thing tomorrow morning in order to get back for work??",ticket_change_refund,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Safety reasons? Most trains don't have a train manager. It's delayed so people from 3 trains on one now. It hot and food shop is closed. 🙄🙄🙄,delay_claim,delay_claim,1,1,legal_safety,human_request,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains They were advanced off peak tickets,ticket_change_refund,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains  Why have i never recieved my refund on tickets had this problem a few times now. Really dissapointing Almost 2 months now ??,ticket_change_refund,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains Euston to Liverpool, leaving at 0930, first train broke down on platform. Missed connection, currently in a taxi from WGK to Warrington",timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I booked what I thought is Virgin 1st Class is due to passenger assistance,accessibility_assistance,accessibility_assistance,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains .@494454 - very frustrated with @115793 &amp; @VirginTrains please refund my ticket fees for 9.50am Euston to Brum &amp; 14.50pm to Euston,ticket_change_refund,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you",ticket_change_refund,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@120576 @VirginTrains @232537 Sorry - assumed it was you because it was your ticket office.,fare_ticketing,fare_ticketing,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains could you tell me when advance tickets for London-Glasgow on December 28th will be released, please?",timetable_platform,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains is the 1910 London Euston to Rhyl still running. Just saw the 1810 was cancelled...,delay_claim,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains I just booked a journey for two people and added two railcards but when I paid it only linked one railcard and I only realised after paying, is there a way to add one now?",fare_ticketing,fare_ticketing,0,1,none,unresolvable,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Says cream cheese and roasted pepper with @299081 but the seat opposite is empty @VirginTrains where is he? #disappointed #stoodup https://t.co/KbeuWq2BbE,other_out_of_scope,complaint_service,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains I am travelling on ur East Coast Train &amp; sun is streaming in
Lovely, but can’t see my mac screen 
Could you not fit blinds?",complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains @VirginAtlantic A non refundable one ;-),other_out_of_scope,ticket_change_refund,0,1,none,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains train delayed by 25 minutes, then a horrible employee tried to make us clear up somone elses rubbish for her, incredibly rude, awful experience... https://t.co/gChXYHmUgu",delay_claim,delay_claim,1,0,complaint_review,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains People got on at Stoke &amp; made comments about the smell before they even sat down #disgraceful #VirginTrains,complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Ok. Have you written about the reasoning behind the new app? Anything at all about the upgrade?,howto_guidance,fare_ticketing,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
My @121516 train is delayed from MCR meaning I’ll miss my @VirginTrains from Preston to Glasgow. Is it ok to get the next one?,ticket_change_refund,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains you robbing bastards, take our money, cram us on like sardines, no seats, three hours",complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@398094 @VirginTrains On time currently. ^KM,other_out_of_scope,timetable_platform,1,0,unresolvable,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains @120576 As far as I can tell, try book through the app, it's off peak, searching for GLA to carlise, preston or Lancaster on sat 16th Dec.",ticket_change_refund,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Hi me and @25428 are due in the 10.20am tomorrow from Euston to Manchester. We can't delay our journey so what can you recommend on how to get there? Thanks.,howto_guidance,howto_guidance,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@116421 @VirginTrains Good morning from Australia,other_out_of_scope,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains will the 18:09 Wigan to Euston run on time? Also will seats be declassified? I have a seat reserved,timetable_platform,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Ok no problem.  Thanks.,support_access_followup,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains hi i have an off-peak open return ticket and tried traveling today. Can I use this tomorrow?,howto_guidance,howto_guidance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains @479934 Sorry to hear that Jak. Did you miss your connection because of this? ^JC,other_out_of_scope,other_out_of_scope,1,0,unresolvable,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains It's gone on holiday to mainland Europe,other_out_of_scope,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains @133684 The Costa coffee shop on the platform at Lancaster has made no attempt to remove the step at its entrance, making it inaccessible",accessibility_assistance,timetable_platform,0,1,none,unresolvable,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I have an off peak single for Birmingham international to London Euston at 5pm today. Can I use it on an earlier train?,howto_guidance,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains “Rock Star Treatment” 19.50pm is classed as Late Evening so  Dinner Service is finished. WiFi &amp; 240v  socket both broken https://t.co/ZKDIWtdF4I,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains We have not arranged assistance, who do I speak to? Thanks",accessibility_assistance,accessibility_assistance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains Terrible service, can we get a refund?",ticket_change_refund,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
On a busy @VirginTrains to Manchester &amp; so impressed to see the two minutes silence observed so respectfully by crew &amp; fellow passengers #LestWeForget https://t.co/D1ZE2mQmFh,other_out_of_scope,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains can let you me know the onward journeys for the 15.03 Euston-Birmingham? I will check all terminating lost property offices.,lost_property,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains your staff at Glasgow central booking office are completely incompetent,I was given wrong and false information on 14/8/2017",other_out_of_scope,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@120576 @VirginTrains I’m now on the 17.59 York to Kings cross. Supposedly direct but currently sitting for 20 minutes in Northampton with no air-con. Can you order the crew to update us?,complaint_service,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains 8.23 from Euston to New Street currently claims to be on time - is that really true?,timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Ideally 23/12 MAN-EUS and then on to Sittingbourne. Return the same way on the 28/12. I have a 16-25 railcard as well 😊,fare_ticketing,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
It’s been 30 min since my train to Manchester was supposed to depart and there is still no sign of it! At least I’m not alone 😩😩😩 #delay @VirginTrains https://t.co/6oDW0UaDkZ,delay_claim,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",ticket_change_refund,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"I honestly will always be a bit pissed off that @VirginTrains was able to make their trains even more inaccessible by changing a trolley service to food carriage. So as a wheelchair user, it's literally impossible for me to get overly priced refreshments. #inaccessible #bastards",accessibility_assistance,other_out_of_scope,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains It’s the one and only Andrew who’s our cabin manager this evening!,support_access_followup,support_access_followup,1,1,human_request,human_request,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains No it won't. But thanks for your ""concern"" and the £196 ticket to travel in a cattle truck.",complaint_service,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains @135993 Last year he renewed it at Stoke. the ticket office staff were less than impressed at somebody paying in £11k in cash in £20’s! Solution?,fare_ticketing,fare_ticketing,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Is it. I’ve lost count of many times I’ve been ill this year,other_out_of_scope,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
Onjourney home via Vicarage Rd. Replacebus late &amp;train allowed to leave as we get to platform😡If I miss @57798 goal @VirginTrains ..,timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains And you still haven't answered my question: how is having a full trainload of passengers make a mad dash down the platform a few minutes before departure *safer* than allowing people to wait on the platform?,timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains what's the price of an off peak return to Birmingham new street after 9:30am please,ticket_change_refund,ticket_change_refund,1,0,money_threshold,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains I’m getting off at Euston. I would like some food but can’t get to the foodbar without some assistance &amp; I’ve been waiting ages, but nobody",accessibility_assistance,accessibility_assistance,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains why no advance tickets on west coast line Glasgow London on 28/12 29/12 want to book family Christmas,ticket_change_refund,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
It’s not enough that you’re over an hour delayed out of york @VirginTrains but then the train arrives &amp; sits on the platform for fun?Move?,delay_claim,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains Thanks, I'll keep an eye on things.",support_access_followup,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@497060 @VirginTrains Are u joking?! Poor person has lost their life and in such a horrific way and you’re moaning about some water which was probs less than £2?!,lost_property,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
It’s fair to say I’m not having a good @VirginTrains week. Major delays and disruption is not what you want to hear on a Friday night,delay_claim,delay_claim,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I wish you would make sure all seat reservations are downloaded - annoying when you have to move.,complaint_service,complaint_service,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains  https://t.co/MRC6T5iDlW,other_out_of_scope,support_access_followup,1,1,unresolvable,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains At @213768 Sat on an empty virgin train at platform 1. Mobility assistance told me it wld be 21.03 to Wolverhampton.,accessibility_assistance,accessibility_assistance,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I accept that it is in your t&amp;cs about not replacing lost https://t.co/YLHnkDjZnH have replaced my sis in laws before 😔,lost_property,lost_property,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Yes very lucky we were able to sit together thanks,support_access_followup,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains VT-051117-084,support_access_followup,support_access_followup,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Please just stop being shit then I won't have to waste my time doing compensation claims. Go through my twitter history with you guys,delay_claim,other_out_of_scope,1,0,money_threshold,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Hi took some unused tickets to Peterborough ticket office for refund &amp; they said must get the refund from Virgin EC website ??,fare_ticketing,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains @127472 Not much consolation as I'll be an hour later getting home, having left my home town at 5.38 this morning #tired #grumpy",lost_property,lost_property,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains where can I get the air con put on the train,other_out_of_scope,other_out_of_scope,0,0,none,none,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Thank you. Perhaps having the disabled sign painted on the wall as well as the floor would help identify who should be using the space.,accessibility_assistance,accessibility_assistance,0,1,none,unresolvable,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains Ref: 2338205969. Staff at Manchester assured me i could get a refund?,ticket_change_refund,ticket_change_refund,1,1,money_threshold,money_review,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains my train has been cancelled and I have had to make alternative arragements to collect my 5 year old son off a flight into Liverpool can i claim compensation London Houston - Liverpool Lime Street 11.15 today,delay_claim,delay_claim,1,1,money_threshold,money_review,4,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
@VirginTrains I had an advanced ticket for the 7pm train,ticket_change_refund,ticket_change_refund,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
"@VirginTrains @120576 Their advice was that they are only contracted to get me there, not on time or with a seat, despite pre booking.",timetable_platform,timetable_platform,0,0,none,none,5,5,PASS,no-key: heuristic only (set OPENAI_API_KEY for gpt-4o-mini run)
