pack_id,text,context_prior_1,context_prior_2,human_intent,human_escalate,human_reason
relabel_30,@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,,,,,
relabel_31,@VirginTrains what are the rules when it comes to priority seats having reservations?,,,,,
relabel_32,@VirginTrains @VirginAtlantic A non refundable one ;-),@206217 @VirginAtlantic Hi Rob. Welcome back to the UK. What type of ticket do you have? ^BT,Well done @VirginAtlantic for a 5 1/2 hour flight from JFK-MAN despite some bad turbulence. Now I am too early for my @VirginTrains though!,,,
relabel_33,"@VirginTrains Ignore that, he came back and got me a coffee! How can I repay him?","@688242 Ah I see, sorry for that today Ellen. ^PA",,,,
relabel_34,@VirginTrains &lt;hear them somewhere else in the carriage - maybe a speaker is bust? Ironic because this is the Accessibility area... I’m in Seat D63,@VirginTrains I have just set on your 10:55 MAN - Euston and the announcements are not at all audible in this part of the carriage... I can&gt;,,,,
relabel_35,Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,,,,,
relabel_36,@VirginTrains Please could you declassify First Class on the 1520 B'ham Int to Euston?  So busy I can't get to my reserved seat. Thank you!,,,,,
relabel_37,@VirginTrains People got on at Stoke &amp; made comments about the smell before they even sat down #disgraceful #VirginTrains,@VirginTrains Good because frankly its disgusting. Its bad enough having to sit next to a man who smells like he hasnt washed for a month ☹️#disgruntled,@508105 We will pass this onto our fleet team to look into ^LC,,,
relabel_38,"@VirginTrains Disgusted at the lack of ""booked"" assistance my disabled relatives just received. I would like an email address for complaint",,,,,
relabel_39,"I was told “Apparently nothing is available, we run a reduced service” ... not a 1st class service from me I’m afraid! Shame on you @VirginTrains, so v disappointing! https://t.co/pNEV9VWoIh",,,,,
relabel_40,Onjourney home via Vicarage Rd. Replacebus late &amp;train allowed to leave as we get to platform😡If I miss @57798 goal @VirginTrains ..,,,,,
relabel_41,"@127472 @VirginTrains You are disabled and have a rail card.

I replied because I got blown up in Afghanistan and lifted my trouser leg up.

At this point I was","@127472 @VirginTrains You need to go but another ticket'

I explained that would be impossible as I don't have my wallet now.

She then said, how do we know you","@127472 @VirginTrains I ran back to the cafe to look for it. It wasn't there

I ran back and explained that I had lost my wallet. The Virgin staff said 'tough, I",,,
relabel_42,@VirginTrains It was an advanced single for the 19:30 from Birmingham New Street to Euston,"@507744 What type of ticket did you have, Neymon, and which service was this for? ^HP",@VirginTrains Don’t know what to do??,,,
relabel_43,hello everyone please boycott @VirginTrains for being unable to find a booking reference so my broke ass had to pay £160 this morning 🙃,,,,,
relabel_44,"@VirginTrains As I asked initially, how do I do that?","@514647 If you report it to the staff onboard, they can assist. ^PA","@VirginTrains Found an exposed panel on one of your trains, lock is broken and door is flapping. How do I inform train staff? https://t.co/vso2VgWi79",,,
relabel_45,"@VirginTrains It’s all good now, just got on. The service before terminated here so wasn’t sure. Thanks 😀","@282132 Hi Stacey, this service should still be stopping at Birmingham International ^HP",@VirginTrains Hello Good Morning VT. Will 9S44 be stopping at BHI going to BHM today or are you diverting it? Thanks,,,
relabel_46,"Another grey, wet morning on a train! @virgintrains #manchesterpiccadilly #london #trainlife #needsomesun https://t.co/j4JEDWsizD",,,,,
relabel_47,@VirginTrains any idea what time the 18:20 from Birmingham international gets into Euston? As the loo in my carriage is broken and I can’t get to the others!,,,,,
relabel_48,How many different incidents/excuses can one service have in one day? @nationalrailenq  @VirginTrains https://t.co/g6VbSAt93X,,,,,
relabel_49,"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",,,,,
relabel_50,@VirginTrains Please just stop being shit then I won't have to waste my time doing compensation claims. Go through my twitter history with you guys,"@329347 Sorry to hear that, Tom, please do make a claim for compensation via the link above ^HP",@VirginTrains Missed my connecting train as this train got further delays. Now it's taken me an extra 2 hours to get home. Cheers again,,,
relabel_51,@VirginTrains Hi me and @25428 are due in the 10.20am tomorrow from Euston to Manchester. We can't delay our journey so what can you recommend on how to get there? Thanks.,,,,,
relabel_52,@VirginTrains It's gone on holiday to mainland Europe,"Good morning, Tweeters! ^MM &amp; ^LC signing on. 

We are both wondering where summer has gone? https://t.co/56jQZCK11q",,,,
relabel_53,Thank you @131370 for the quick processing of refund for when I left railcard at Home. Sadly @VirginTrains still haven’t processed since email sent on 16 October... (can Virgin chase?),,,,,
relabel_54,@VirginTrains Mum now on train to Leeds... Could she pay for an upgrade on the 3.15pm Leeds train to London Kings Cross? How much?,@VirginTrains Thanks. Busy day for you guys I'm sure...,@360925 We are awaiting an update as to when the line will reopen. Live Updates can be found via https://t.co/QlcukyjBGT ^MM,,,
relabel_55,"@VirginTrains We have not arranged assistance, who do I speak to? Thanks",@429229 Have you arranged assistance for her to be met? You'd need to speak to station staff regarding the platform. ^PA,@VirginTrains 2/2  platform? Or could a member of your team meet her and bring her up in the lift?,,,
relabel_56,@VirginTrains Why no bus replacement between Bangor &amp; Chester where no flooding - or advice to on local trains from Bangor towards Chester to catch Virgin London train?,,,,,
relabel_57,"@VirginTrains So how does it work then, you only get into the app when you have wifi connection.","@585585 BEAM works off a different server, the WiFi you pay for doesn't support streaming. ^PA",You pay for @VirginTrains wifi to use their BEAM service and then the wifi isn't strong enough to play something. Just because,,,
relabel_58,@153905 @VirginTrains No. I remember your last trip to Brum where the heating was ramped up on @VirginTrains.,@153904 @VirginTrains Glad I’m not there!,@VirginTrains Can they cool down coach b??,,,
relabel_59,@VirginTrains Ok no problem.  Thanks.,"@789438 Thanks Robbie, Thanks Robbie - sorry I just realised you sent us that info earlier. I have messaged the TM for you so will let you know as soon as we hear back ^HP",@VirginTrains Coach A seats 17 &amp; 18.  Thanks,,,
