idx,text,human_intent,pred_intent,human_esc,pred_esc,pred_reason,draft,heur_ground,heur_verdict
11,@VirginTrains tube shut by arrival time how do i get home???,timetable_platform,howto_guidance,0,0,none,"Happy to guide you. Tell us your journey + date/time and the step you're stuck on, and we'll share steps.",4,PASS
12,@398094 @VirginTrains On time currently. ^KM,other_out_of_scope,timetable_platform,1,0,none,"Let's check your service — I won't guess times or platforms here (they change). Check live departures, then DM us your from/to + date/time and we'll look it up.",5,PASS
13,@VirginTrains have absolutely no idea how to deal with a crisis! #strandedyetagain #noinformation #scarycrowds #toomanypeople #noorganisation #wouldneverhappeninaschool https://t.co/DpWw5sdS35,complaint_service,howto_guidance,1,1,legal_safety,"Happy to guide you. Tell us your journey + date/time and the step you're stuck on, and we'll share steps.",4,PASS
14,Why is it so hot on @VirginTrains #manishot,complaint_service,other_out_of_scope,0,0,none,Thanks for reaching out. Please DM us your journey + date/time + brief detail so we can point you correctly. Don't share personal info publicly.,4,FAIL
15,"@VirginTrains train delayed by 25 minutes, then a horrible employee tried to make us clear up somone elses rubbish for her, incredibly rude, awful experience... https://t.co/gChXYHmUgu",delay_claim,delay_claim,1,0,none,Sorry your train was delayed. You may be eligible for Delay Repay — keep your ticket. DM us your journey + date + ticket type and we'll guide your claim.,4,PASS
16,@VirginTrains @120576 Not been angry about being delayed got fined for another ticket as my railcard was three days out of date. Just want something back ffs,fare_ticketing,fare_ticketing,1,1,complaint_review,We can point you on fares — I won't quote prices here (they vary by time/type). Check ticket type + railcard before travel. DM us your journey + passenger type and we'll explain options (no payment here).,5,PASS
17,@VirginTrains What is the refund procedure for removal of First Class services?,ticket_change_refund,complaint_service,1,0,none,Sorry about your experience. Please share what happened (service/date/time) without personal details here. DM us and we'll log it properly.,4,PASS
18,@VirginTrains Large bag left in the luggage rack on the 18:31 arrival at Euston. No one I reported to remotely concerned.,lost_property,lost_property,0,0,none,Sorry you left something behind. Note the service + car/spot if you can. DM us your journey + item description and we'll point you to lost property.,4,PASS
19,"@VirginTrains No it won't. But thanks for your ""concern"" and the £196 ticket to travel in a cattle truck.",complaint_service,support_access_followup,0,0,none,"Thanks for following up — we got it. If you sent a DM, we'll review there. Otherwise DM us your booking ref + journey and we'll continue.",4,PASS
20,"@VirginTrains Thanks, booked 🤗 if there would be any chance of any upgrades we would really appreciate it! 😘",howto_guidance,support_access_followup,0,0,none,"Thanks for following up — we got it. If you sent a DM, we'll review there. Otherwise DM us your booking ref + journey and we'll continue.",4,PASS
21,@VirginTrains The person on Live Chat states you do not advise disabled seats separately because its discriminatory? So is the '2 seats left' regarding or not regarding disabled seats?,other_out_of_scope,accessibility_assistance,0,0,none,We can help arrange assistance. Book Passenger Assist ahead where possible. DM us your journey + needs and we'll guide you securely.,4,PASS
22,@VirginTrains Can I use my ticket on east midland trains? From East mids parkway to st pancreas?,ticket_change_refund,howto_guidance,0,0,none,"Happy to guide you. Tell us your journey + date/time and the step you're stuck on, and we'll share steps.",4,PASS
23,"@VirginTrains Due to today, please can I reserve 2 seats from Runcorn to Euston at 6.21 tomorrow, I am travelling with a disabled passenger",other_out_of_scope,complaint_service,0,1,unresolvable,Sorry about your experience. Please share what happened (service/date/time) without personal details here. DM us and we'll log it properly.,4,PASS
24,Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,timetable_platform,lost_property,0,0,none,Sorry you left something behind. Note the service + car/spot if you can. DM us your journey + item description and we'll point you to lost property.,4,PASS
25,@116421 @VirginTrains Good morning from Australia,other_out_of_scope,support_access_followup,0,0,none,"Thanks for following up — we got it. If you sent a DM, we'll review there. Otherwise DM us your booking ref + journey and we'll continue.",4,PASS
26,@VirginTrains can you tell me which first class menu it will be Manchester to Euston 1915? Also what times are each menu on this route as I travel this route a lot and never know 😂,howto_guidance,complaint_service,0,0,none,Sorry about your experience. Please share what happened (service/date/time) without personal details here. DM us and we'll log it properly.,4,PASS
27,@VirginTrains @VirginAtlantic A non refundable one ;-),other_out_of_scope,ticket_change_refund,0,1,money_review,We can help with your amendment/refund. Check your ticket terms (Advance is restricted). DM us your booking ref + journey and we'll advise next steps.,5,PASS
28,"@VirginTrains If my 10:15 train from Manchester to Euston has been cancelled and I am on an advanced ticket, am I able to travel on the next available service?",ticket_change_refund,delay_claim,0,0,none,Sorry your train was delayed. You may be eligible for Delay Repay — keep your ticket. DM us your journey + date + ticket type and we'll guide your claim.,4,PASS
29,"@VirginTrains I have an open off peak return to Liverpool and was planning to travel his evening, can I use this ticket for a peak train leaving first thing tomorrow morning in order to get back for work??",ticket_change_refund,ticket_change_refund,0,0,none,We can help with your amendment/refund. Check your ticket terms (Advance is restricted). DM us your booking ref + journey and we'll advise next steps.,5,PASS
