text,intent,escalate,escalate_reason
@AppleSupport restoring an iCloud backup on my new iPhone. Photos and videos haven’t gone across... I’ve erased iPhone and restored several times - what is happening?! 🤭,setup_transfer_restore,0,none
@AppleSupport Onde esta Reputation da Taylor Swift pra Apple Music????????????????????,apps_media,0,none
@AppleSupport how do I make an appointment for an Apple store?,purchase_billing_service,0,none
"In #iOS11 on my iPhone 8 Plus, #message app keyboard keeps changing, sounds turn on and off, I cant fix any of it? Help? @AppleSupport",hardware_device,0,none
"@AppleSupport No, this is the first time ever, and hopefully the last. Should I get my phone to a Mac Store?",purchase_billing_service,0,none
@AppleSupport The pause. I forgot the pause. Thank you!,support_access_followup,0,none
@AppleSupport Macbook pro late 2011 w/ an SSD and 16gb RAM.,hardware_device,0,none
@AppleSupport Thanks! I solved the problem. There were too many devices connected via bluetooth. It was slowing down my cursor movement. Thanks again!,connectivity,0,none
my charger legit caught flame yesterday and burned my finger... @AppleSupport,support_access_followup,0,none
"Facebook app on iPhone SE running iOS 11. Is the app, the phone or the OS the issue here? @AppleSupport (that's the app crashing btw) https://t.co/cuw6DVT7I5",apps_media,1,legal_safety
@115858 @AppleSupport does it make since to do two time restore in the last 3 days and no proper support from your team !!! Really disappointed.,setup_transfer_restore,0,none
@AppleSupport How do I stop Messages from taking Live photos? It's disabled everywhere but Messages doesn't respect this. Please help!,howto_guidance,0,none
@AppleSupport 🤦🏽‍♀️ thank you!!,support_access_followup,0,none
@AppleSupport I turned my iPad off and back on again and now they’re updating 😊,software_update,0,none
"@AppleSupport Thanks, didn’t think it was legit. How come such a sudden influx of spam coming to iPhones recently?! That’s my second in the last couple of weeks!!?!",support_access_followup,0,none
@AppleSupport The most recent iOS and a screenshot of what keeps happening.,hardware_device,0,none
"@AppleSupport so I a, wondering Apple if this iOS 11.1.2. Has anything that fixes the severe battery drain on my iPad 4 I got last June? I see fixes for the X but nothing else. I mean iOS 11 11.0.1, 11.0.2, 11.0.3 and 11.1 were all junk so?",battery_power,0,none
I keep getting this error message saying “the item can’t be played” and idk how to fix it... @115948 @AppleSupport,howto_guidance,0,none
"@249094 @360878 @AppleSupport Daniel, I feel your pain. Is it your workout data that is not making it across? If so, I might be able to help. Learned a lot from my headache move to a new iPhone.",setup_transfer_restore,0,none
"So I went and called @AppleSupport , the lady was very friendly and nice and she told me it had nothing to do with apple, they don’t handle sms messaging it was a problem with @115911 network",other_out_of_scope,0,none
@355121 @AppleSupport I want a home button. And i want to save 💰,hardware_device,0,none
@AppleSupport want to send a commendation to the employee who helped me at the genius bar yesterday. How do I do that?,purchase_billing_service,0,none
@applesupport how can i fix this problem ? please reply https://t.co/XLYlobPI2m,howto_guidance,0,none
@AppleSupport Other people are finding difficulties with Java on High Sierra. Something is not good here Apple. Mostly I’m angry and the unethical policy of choosing not to continue supporting your own software that I paid £750 for!! It’s unacceptable to say that to keep using will cost £199!!,purchase_billing_service,0,none
@AppleSupport is there anyone around I could talk to re: Apple renew?,other_out_of_scope,1,human_request
"@AppleSupport  hi, I have a problem w/ my Apple ID. ☹️ can u help me pls? 😭🙏",apple_id_icloud,0,none
@AppleSupport I will try that and see if it works. And yes both devices are set to AirDrop to everyone.,connectivity,0,none
"@AppleSupport I am having some issues on notifications page, it looks weird after I upgraded to iOS 11.1 #iOS111 https://t.co/qQcvKRNZfV",software_update,1,legal_safety
@AppleSupport okaaaay thanks apple,support_access_followup,0,none
@115858 @AppleSupport Since using these plastic hooks to wrap up and store my charger it has started to break the wire. V.disappointed. https://t.co/EJxPkJPQX4,purchase_billing_service,0,none
@AppleSupport Thank you. My keyboard doesnot seem to connect. When I do’nt use the keyboard I don’t get that  notification. What’s wrong? https://t.co/qGmbAWZtFJ,hardware_device,0,none
"@AppleSupport can not access any of my photos? Won’t load from iCloud, just an exclamation mark appearing on every photo",apple_id_icloud,0,none
